productName,itemId,commissionRate,commission,price,sales,imageUrl,shopName,productLink,offerLink,ratingStar
Lola Cosmetics Argan Oil Óleo Capilar 50ml,18760178533,0.12,2.148,17.9,10186,https://cf.shopee.com.br/file/sg-11134201-22110-k9xhfx0wshjv41,AMOBELEZA,https://shopee.com.br/product/681570887/18760178533,https://s.shopee.com.br/9zmGRxOVo8,5
"Kit com 6,3,1 pares de meias/meias soquete térmica grossa flanelada fleece inverno frio intenso",22797608073,0.03,0.2694,8.98,1663,https://cf.shopee.com.br/file/sg-11134201-7rd68-lx0jgig8q4ps48,Amor 2 .presentes,https://shopee.com.br/product/1161888171/22797608073,https://s.shopee.com.br/3VYmi14r7J,4.8
Cobertor Casal Queen Fofão Coberta Luxuosa Frio Inverno Antialérgica *Oferta*,23994031816,0.08,3.592,44.9,602,https://cf.shopee.com.br/file/sg-11134201-7raur-ma4a3vvx2g27af,Ofertas Do Lar,https://shopee.com.br/product/487255442/23994031816,https://s.shopee.com.br/3fsCuK4DmM,3.2
"Kit 10 Limpador de máquina de lavar, comprimido efervescente sólido para remover manchas",23892665618,0.15,3.2985,21.99,16171,https://cf.shopee.com.br/file/br-11134207-7r98o-lv98cwwitsix1e,Inovar Top,https://shopee.com.br/product/944725778/23892665618,https://s.shopee.com.br/3qBd6d3aRP,4.7
caneca Kit Garrafa Térmica Vacuum Bottle Inox 500ml + 3 Xícaras Bebidas Fria ou Quente,22192647025,0.07,2.0279,28.97,12178,https://cf.shopee.com.br/file/sg-11134201-7rfgr-m9srcfiqmq8s1a,XIXI-STORE3,https://shopee.com.br/product/1108921660/22192647025,https://s.shopee.com.br/2fzfiU81oC,4.7
Robô Varredora/Aspirador De Pó 1200PA Automática 3 Em 1 Limpeza Doméstica Robótico Inteligente E Silencioso,22597120770,0.14,8.246,58.9,4475,https://cf.shopee.com.br/file/br-11134207-7r98o-lo8epw1nrmbw14,JX VERDE,https://shopee.com.br/product/1103946075/22597120770,https://s.shopee.com.br/2qJ5un7OTF,4.3
Jogo de Cama Lençol 400 Fios Micropercal,23793614115,0.15,4.185,27.9,20222,https://cf.shopee.com.br/file/br-11134207-7r98o-m4q44496tu0x8f,Casa Decorada Enxovais,https://shopee.com.br/product/418872496/23793614115,https://s.shopee.com.br/30cW766l8I,4.8
Kit 10 Calcinhas Cós Alto Sem Costura Corte A Laser Academia  - Cos Roma,20899367498,0.03,0.7224,24.08,840,https://cf.shopee.com.br/file/sg-11134201-7rdw0-lz0w37j1cnpi4f,Lingerie da Serra,https://shopee.com.br/product/450671586/20899367498,https://s.shopee.com.br/3AvwJP67nL,4.3
Sanduicheira Elétrica Misteira Multifunções SAN400 Preto - Cadence,22893496298,0.08,10.392,129.9,54,https://cf.shopee.com.br/file/br-11134207-7r98o-m1ziu831ixgkf1,Tubarão Max,https://shopee.com.br/product/1314243679/22893496298,https://s.shopee.com.br/20jyvGAZA8,4.9
Mini Aspirador De pó Portátil Automotivo e Casa Potente Recarregável,22791523448,0.07,1.4623,20.89,8457,https://cf.shopee.com.br/file/sg-11134201-7rfgh-m9alnusjaitc3e,ANJ.GG store,https://shopee.com.br/product/391739739/22791523448,https://s.shopee.com.br/2B3P7Z9vpB,4.6
Kit Jogo Lençol Cama Box Casal Queen 400 fios Micropercal 03 Peças Ponto Palito,22893738408,0.03,0.615,20.5,57598,https://cf.shopee.com.br/file/br-11134207-7r98o-m6peqntiscvk4c,Nosso Lar Enxovais,https://shopee.com.br/product/313660590/22893738408,https://s.shopee.com.br/2LMpJs9IUE,4.9
Caixa De Som C/ Microfones Karaokê Brincadeiras em Família,22892981683,0.08,2.1504,26.88,7977,https://cf.shopee.com.br/file/br-11134207-7r98o-lum8q7tobtd144,NOVASHOP_BRASIL,https://shopee.com.br/product/1170622375/22892981683,https://s.shopee.com.br/2VgFWB8f9H,4.8
"Cortina para Quarto, Cozinha, Sala Blackout Blecaute 2,80 x 2,30 PVC Corta Luz 100%",23793260648,0.13,4.4577,34.29,4401,https://cf.shopee.com.br/file/br-11134207-7r98o-m035ag65ltuvc1,DICO DECOR,https://shopee.com.br/product/345755167/23793260648,https://s.shopee.com.br/1LUI82D6W4,4.8
Kit 15 Potes Herméticos de Plástico com Tampa – Empilháveis e Ultra Resistentes para Alimentos,18298053473,0.03,0.897,29.9,6104,https://cf.shopee.com.br/file/br-11134207-7r98o-m3v6qy5esmydcc,D&L Utilidades,https://shopee.com.br/product/449434162/18298053473,https://s.shopee.com.br/1VniKLCTB7,4.6
Capa Para Colchão Impermeavel Matelado Com Elastico,22992945609,0.1,2.28,22.8,37880,https://cf.shopee.com.br/file/br-11134207-7r98o-ltwjwwwq5uudff,Icasa Ibitinga,https://shopee.com.br/product/300779622/22992945609,https://s.shopee.com.br/1g78WeBpqA,4.6
